word,romanization,sense_id,sense_gloss,sentence,sentence_key
ಮಾತು,mātu,1,Word/speech,ನನ್ನ ಮಾತು ಆಲಿಸಿ.,ನನ್ನ ಮಾತು ಆಲಿಸಿ
ಮಾತು,mātu,1,Word/speech,ಆ ಮಾತು ನಿಜವಾಗಿದೆ.,ಆ ಮಾತು ನಿಜವಾಗಿದೆ
ಮಾತು,mātu,1,Word/speech,"ಮಾತುಗಳ ಅರ್ಥ ಅಲ್ಲ, ಭಾವ ಪ್ರಮುಖ.","ಮಾತುಗಳ ಅರ್ಥ ಅಲ್ಲ, ಭಾವ ಪ್ರಮುಖ"
ಮಾತು,mātu,2,Matter/issue/subject,ಇದು ಗಮನಾರ್ಹ ಮಾತು.,ಇದು ಗಮನಾರ್ಹ ಮಾತು
ಮಾತು,mātu,2,Matter/issue/subject,ಆ ಮಾತಿನ ಬಗ್ಗೆ ಮಾತನಾಡಬೇಡ.,ಆ ಮಾತಿನ ಬಗ್ಗೆ ಮಾತನಾಡಬೇಡ
ಮಾತು,mātu,2,Matter/issue/subject,ಕ್ರೀಡಾ ಮಾತು ಈತನಿಗೆ ಆಸಕ್ತಿ.,ಕ್ರೀಡಾ ಮಾತು ಈತನಿಗೆ ಆಸಕ್ತಿ
ಮಾತು,mātu,3,Talk/discussion/gossip,ಪಟ್ಟಣದಲ್ಲಿ ಸಾಕಷ್ಟು ಮಾತು ಆಗಿದೆ.,ಪಟ್ಟಣದಲ್ಲಿ ಸಾಕಷ್ಟು ಮಾತು ಆಗಿದೆ
ಮಾತು,mātu,3,Talk/discussion/gossip,ತಲೆಕೆಳಿತ ಮಾತು ನಂಬಬೇಡ.,ತಲೆಕೆಳಿತ ಮಾತು ನಂಬಬೇಡ
ಹಸ್ತ,hasta,1,Hand (body part),ತನ್ನ ಹಸ್ತ ಮೆರೆದುಕೊಂಡರು.,ತನ್ನ ಹಸ್ತ ಮೆರೆದುಕೊಂಡರು
ಹಸ್ತ,hasta,1,Hand (body part),ಹಸ್ತ ತೊಳೆಯಿರಿ.,ಹಸ್ತ ತೊಳೆಯಿರಿ
ಹಸ್ತ,hasta,1,Hand (body part),ಬಲಹಸ್ತ ಕಾಲಿದಾಗ ಶಸ್ತ್ರ ಸರಿಸಿ.,ಬಲಹಸ್ತ ಕಾಲಿದಾಗ ಶಸ್ತ್ರ ಸರಿಸಿ
ಹಸ್ತ,hasta,2,Trunk (of elephant),ಆನೆಯ ಹಸ್ತ ಅತ್ಯಂತ ಶಕ್ತಿಶಾಳಿ.,ಆನೆಯ ಹಸ್ತ ಅತ್ಯಂತ ಶಕ್ತಿಶಾಳಿ
ಹಸ್ತ,hasta,2,Trunk (of elephant),ಹಸ್ತದಿಂದ ನೀರು ಕುಡಿಯುತ್ತವೆ.,ಹಸ್ತದಿಂದ ನೀರು ಕುಡಿಯುತ್ತವೆ
ಹಸ್ತ,hasta,3,Handwriting,ಅವನ ಹಸ್ತ ತುಂಬಾ ಸುಂದರವಾಗಿದೆ.,ಅವನ ಹಸ್ತ ತುಂಬಾ ಸುಂದರವಾಗಿದೆ
ಹಸ್ತ,hasta,3,Handwriting,ಈ ಗ್ರಂಥ ಶೇಷಾದ್ರಿಯ ಹಸ್ತದಿಂದ ಬರೆದಿದೆ.,ಈ ಗ್ರಂಥ ಶೇಷಾದ್ರಿಯ ಹಸ್ತದಿಂದ ಬರೆದಿದೆ
ಹಸ್ತ,hasta,4,Possession/control,ಸಭೆ ಅವನ ಹಸ್ತದಲ್ಲಿದೆ.,ಸಭೆ ಅವನ ಹಸ್ತದಲ್ಲಿದೆ
ಹಸ್ತ,hasta,4,Possession/control,ಆ ಭೂಮಿ ನಿನ್ನ ಹಸ್ತದಲ್ಲಿದೆ.,ಆ ಭೂಮಿ ನಿನ್ನ ಹಸ್ತದಲ್ಲಿದೆ
ಬಾಗ,bāga,1,Garden,ಪುಷ್ಪಬಾಗ ಅತ್ಯಂತ ಸುಂದರವಾಗಿದೆ.,ಪುಷ್ಪಬಾಗ ಅತ್ಯಂತ ಸುಂದರವಾಗಿದೆ
ಬಾಗ,bāga,1,Garden,ತರಕಾರಿ ಬಾಗದಲ್ಲಿ ಸೋಂಕು ಹಿಡಿದಿದೆ.,ತರಕಾರಿ ಬಾಗದಲ್ಲಿ ಸೋಂಕು ಹಿಡಿದಿದೆ
ಬಾಗ,bāga,2,Share/portion,ಸಂಪತ್ತಿನಿಂದ ಪ್ರತಿಯೊಬ್ಬರ ಬಾಗ ನಿರ್ಧರಿಸಿ.,ಸಂಪತ್ತಿನಿಂದ ಪ್ರತಿಯೊಬ್ಬರ ಬಾಗ ನಿರ್ಧರಿಸಿ
ಬಾಗ,bāga,2,Share/portion,ನನ್ನ ಬಾಗ ನಿಗದಿತವಾಗಿ ಇದೆ.,ನನ್ನ ಬಾಗ ನಿಗದಿತವಾಗಿ ಇದೆ
ಬಾಗ,bāga,3,Section/district,ಬೆಂಗಳೂರು ಉತ್ತರ ಬಾಗದಲ್ಲಿ ಸ್ಥಿತವಾಗಿದೆ.,ಬೆಂಗಳೂರು ಉತ್ತರ ಬಾಗದಲ್ಲಿ ಸ್ಥಿತವಾಗಿದೆ
ಬಾಗ,bāga,3,Section/district,ನಗರದ ಪಶ್ಚಿಮ ಬಾಗ ಸಾಕಷ್ಟು ಅಭಿವೃದ್ಧಿಯಾಗಿದೆ.,ನಗರದ ಪಶ್ಚಿಮ ಬಾಗ ಸಾಕಷ್ಟು ಅಭಿವೃದ್ಧಿಯಾಗಿದೆ
ಚಿತ್ರ,chitra,1,Picture/image,ಆ ಚಿತ್ರ ನೈಜತ್ವವನ್ನು ಪ್ರತಿಬಿಂಬಿಸುತ್ತದೆ.,ಆ ಚಿತ್ರ ನೈಜತ್ವವನ್ನು ಪ್ರತಿಬಿಂಬಿಸುತ್ತದೆ
ಚಿತ್ರ,chitra,1,Picture/image,ಚಿತ್ರ ತೆಗೆಯಬೇಕೆ?,ಚಿತ್ರ ತೆಗೆಯಬೇಕೆ
ಚಿತ್ರ,chitra,2,Variety/diversity,ಸಮಾಜದಲ್ಲಿ ಅನೇಕ ಚಿತ್ರ ಜನತೆ ವಾಸ ಮಾಡುತ್ತಾರೆ.,ಸಮಾಜದಲ್ಲಿ ಅನೇಕ ಚಿತ್ರ ಜನತೆ ವಾಸ ಮಾಡುತ್ತಾರೆ
ಚಿತ್ರ,chitra,2,Variety/diversity,ಈ ಕಾದಂಬರಿಯು ಚಿತ್ರವಾದ ಪ್ರಕರಣಗಳನ್ನು ಹೊಂದಿದೆ.,ಈ ಕಾದಂಬರಿಯು ಚಿತ್ರವಾದ ಪ್ರಕರಣಗಳನ್ನು ಹೊಂದಿದೆ
ಚಿತ್ರ,chitra,3,Strange/wonderful,ಆ ಚಿತ್ರ ಘಟನೆ ಕೇಳಲು ಅದ್ಭುತವಾಗಿದೆ.,ಆ ಚಿತ್ರ ಘಟನೆ ಕೇಳಲು ಅದ್ಭುತವಾಗಿದೆ
ಚಿತ್ರ,chitra,3,Strange/wonderful,ಚಿತ್ರವಾದ ಸಂಗತಿ ಸಂಭವಿಸಿದೆ.,ಚಿತ್ರವಾದ ಸಂಗತಿ ಸಂಭವಿಸಿದೆ
ಚಿತ್ರ,chitra,4,Painting/art,ರವಿಶಂಕರ ಸುಂದರ ಚಿತ್ರ ಸೃಷ್ಟಿಸುತ್ತಾರೆ.,ರವಿಶಂಕರ ಸುಂದರ ಚಿತ್ರ ಸೃಷ್ಟಿಸುತ್ತಾರೆ
ಚಿತ್ರ,chitra,4,Painting/art,ಈ ಚಿತ್ರ ಶಿಲ್ಪ ಅಸಾಧಾರಣ ಕಾದಂಬರಿ.,ಈ ಚಿತ್ರ ಶಿಲ್ಪ ಅಸಾಧಾರಣ ಕಾದಂಬರಿ
ಪುಲ,pula,1,Bridge,ನದಿಯ ಮೇಲೆ ಹೊಸ ಪುಲ ನಿರ್ಮಾಣವಾಗುತ್ತಿದೆ.,ನದಿಯ ಮೇಲೆ ಹೊಸ ಪುಲ ನಿರ್ಮಾಣವಾಗುತ್ತಿದೆ
ಪುಲ,pula,1,Bridge,ಪುಲ ದಾಟಿ ಹೋಗಿ.,ಪುಲ ದಾಟಿ ಹೋಗಿ
ಪುಲ,pula,2,Flower,ಬೆಸೆಯ ಪುಲ ಚೆಂದ ಸುವಾಸಿತವಾಗಿರುತ್ತವೆ.,ಬೆಸೆಯ ಪುಲ ಚೆಂದ ಸುವಾಸಿತವಾಗಿರುತ್ತವೆ
ಪುಲ,pula,2,Flower,ಹೂವಿನ ಪುಲ ನೋಡು.,ಹೂವಿನ ಪುಲ ನೋಡು
ಪುಲ,pula,3,Bouquet,ನವೆಂಬರ್ ಅವರಿಗೆ ಪುಲದ ತೂಟು ಕೊಟ್ಟರು.,ನವೆಂಬರ್ ಅವರಿಗೆ ಪುಲದ ತೂಟು ಕೊಟ್ಟರು
ಪುಲ,pula,3,Bouquet,ಮದುವೆಯ ಸಮಯದಲ್ಲಿ ಸುಂದರ ಪುಲದ ತೂಟು ನೋಡಲಾಯಿತು.,ಮದುವೆಯ ಸಮಯದಲ್ಲಿ ಸುಂದರ ಪುಲದ ತೂಟು ನೋಡಲಾಯಿತು
ಕಾಲ,kāla,1,Time/period,ಕಾಲ ದ್ರುತವಾಗಿ ಹಾದುಹೋಗಿ.,ಕಾಲ ದ್ರುತವಾಗಿ ಹಾದುಹೋಗಿ
ಕಾಲ,kāla,1,Time/period,ಮಹಾಭಾರತದ ಕಾಲದಲ್ಲಿ ಅನೇಕ ಯುದ್ಧ ನಡೆದವು.,ಮಹಾಭಾರತದ ಕಾಲದಲ್ಲಿ ಅನೇಕ ಯುದ್ಧ ನಡೆದವು
ಕಾಲ,kāla,2,Leg (body part),ಅವನ ಎಡ ಕಾಲು ಮುರಿದಿದೆ.,ಅವನ ಎಡ ಕಾಲು ಮುರಿದಿದೆ
ಕಾಲ,kāla,2,Leg (body part),ಕಾಲು ನೋವಾಗುತ್ತಿದೆ.,ಕಾಲು ನೋವಾಗುತ್ತಿದೆ
ಕಾಲ,kāla,3,Death (poetic/mythological),ಕಾಲ ನೋಡುತ್ತಿರುವುದೇ ಅದು.,ಕಾಲ ನೋಡುತ್ತಿರುವುದೇ ಅದು
ಕಾಲ,kāla,3,Death (poetic/mythological),ಕಾಲದ ಸಮಯ ನಿಗದಿತವಾಗಿದೆ.,ಕಾಲದ ಸಮಯ ನಿಗದಿತವಾಗಿದೆ
ಕಾಲ,kāla,4,Black (archaic),ಕಾಲ ಬಟ್ಟೆ ಧರಿಸಿ.,ಕಾಲ ಬಟ್ಟೆ ಧರಿಸಿ
ಕಾಲ,kāla,4,Black (archaic),ಕಾಲ ಮೇಘ ಗಾಳಿ ಬೀಸುತ್ತಿದೆ.,ಕಾಲ ಮೇಘ ಗಾಳಿ ಬೀಸುತ್ತಿದೆ
ಕಾಲ,kāla,5,Season,ಬೇಸಿಗೆ ಕಾಲ ತುಂಬಾ ಬಿಸಿಯಾಗಿರುತ್ತವೆ.,ಬೇಸಿಗೆ ಕಾಲ ತುಂಬಾ ಬಿಸಿಯಾಗಿರುತ್ತವೆ
ಕಾಲ,kāla,5,Season,ಮುಂಗಾರು ಕಾಲ ಮೂವೆತ್ತೆ ಅಂದಾಗೆ ಬರುತ್ತದೆ.,ಮುಂಗಾರು ಕಾಲ ಮೂವೆತ್ತೆ ಅಂದಾಗೆ ಬರುತ್ತದೆ
ಧರಣಿ,dharaṇi,1,Earth,ಧರಣಿ ಭ್ರಮಿಸುತ್ತಾ ಇರುತ್ತದೆ.,ಧರಣಿ ಭ್ರಮಿಸುತ್ತಾ ಇರುತ್ತದೆ
ಧರಣಿ,dharaṇi,1,Earth,ಧರಣಿಯ ಮೇಲೆ ಮಿಲಿಯನ ಜನ ವಾಸ ಮಾಡುತ್ತಾರೆ.,ಧರಣಿಯ ಮೇಲೆ ಮಿಲಿಯನ ಜನ ವಾಸ ಮಾಡುತ್ತಾರೆ
ಧರಣಿ,dharaṇi,2,Base/support,ಈ ಕೋಟೆಯ ಧರಣಿ ಕಲ್ಲಿನಿಂದ ಕೆತ್ತಿರುವುದು.,ಈ ಕೋಟೆಯ ಧರಣಿ ಕಲ್ಲಿನಿಂದ ಕೆತ್ತಿರುವುದು
ಧರಣಿ,dharaṇi,2,Base/support,ಮನೆಯ ಧರಣಿ ಬಲಾಗಿರುವುದು ಅಗತ್ಯ.,ಮನೆಯ ಧರಣಿ ಬಲಾಗಿರುವುದು ಅಗತ್ಯ
ಧರಣಿ,dharaṇi,3,Fragrance,ಪುಷ್ಪಗಳ ಧರಣಿ ಸುವಾಸಿತವಾಗಿರುತ್ತವೆ.,ಪುಷ್ಪಗಳ ಧರಣಿ ಸುವಾಸಿತವಾಗಿರುತ್ತವೆ
ಧರಣಿ,dharaṇi,3,Fragrance,ಧರಣಿ ಇಳಿಪಡಿಸುವ ಪದಾರ್ಥ.,ಧರಣಿ ಇಳಿಪಡಿಸುವ ಪದಾರ್ಥ
ಚಕ್ರ,chakra,1,Wheel,ರಥದ ಚಕ್ರ ಭಾರೀ ಮರದಿಂದ ತಯಾರಾಗಿದೆ.,ರಥದ ಚಕ್ರ ಭಾರೀ ಮರದಿಂದ ತಯಾರಾಗಿದೆ
ಚಕ್ರ,chakra,1,Wheel,ಮೊಟೊರಿನ ಚಕ್ರ ತಿರುಗುತ್ತಿದೆ.,ಮೊಟೊರಿನ ಚಕ್ರ ತಿರುಗುತ್ತಿದೆ
ಚಕ್ರ,chakra,2,Circle/cycle,ಜೀವನದ ಚಕ್ರ ಮುಂದುವರಿದುಕೊಂಡಿದೆ.,ಜೀವನದ ಚಕ್ರ ಮುಂದುವರಿದುಕೊಂಡಿದೆ
ಚಕ್ರ,chakra,2,Circle/cycle,ಋತುಗಳ ಚಕ್ರ ಪುನರಾವೃತ್ತಿಯಾಗುತ್ತಿದೆ.,ಋತುಗಳ ಚಕ್ರ ಪುನರಾವೃತ್ತಿಯಾಗುತ್ತಿದೆ
ಚಕ್ರ,chakra,3,Chakra (yogic/spiritual),ಯೋಗದಲ್ಲಿ ಆಚ್ಠ ಚಕ್ರಗಳು ಮುಖ್ಯ.,ಯೋಗದಲ್ಲಿ ಆಚ್ಠ ಚಕ್ರಗಳು ಮುಖ್ಯ
ಚಕ್ರ,chakra,3,Chakra (yogic/spiritual),ಹೃದಯ ಚಕ್ರ ಸಕ್ರಿಯಗೊಳಿಸುತ್ತಾರೆ.,ಹೃದಯ ಚಕ್ರ ಸಕ್ರಿಯಗೊಳಿಸುತ್ತಾರೆ
ಚಕ್ರ,chakra,4,Discus (mythological weapon),ಕೃಷ್ಣನ ಚಕ್ರ ವೈಷ್ಣವ ಅಸ್ತ್ರ.,ಕೃಷ್ಣನ ಚಕ್ರ ವೈಷ್ಣವ ಅಸ್ತ್ರ
ಚಕ್ರ,chakra,4,Discus (mythological weapon),ಸುದರ್ಶನ ಚಕ್ರ ಸಕಲವನ್ನು ನಾಶಮಾಡುತ್ತಿದೆ.,ಸುದರ್ಶನ ಚಕ್ರ ಸಕಲವನ್ನು ನಾಶಮಾಡುತ್ತಿದೆ
ಕರಣ,karaṇa,1,Reason/cause,ಈ ಘಟನೆಯ ಕರಣ ಎಂದರೆ ನಿರ್ಲಕ್ಷ್ಯತೆ.,ಈ ಘಟನೆಯ ಕರಣ ಎಂದರೆ ನಿರ್ಲಕ್ಷ್ಯತೆ
ಕರಣ,karaṇa,1,Reason/cause,ಅನಸ್ಥೆಯ ಕರಣ ಕಾರ್ಯಭಾರ ಹೆಚ್ಚು.,ಅನಸ್ಥೆಯ ಕರಣ ಕಾರ್ಯಭಾರ ಹೆಚ್ಚು
ಕರಣ,karaṇa,2,Instrument/means,ಶಿಕ್ಷಣ ಜೀವನ ಸುಧಾರಣೆಯ ಕರಣ.,ಶಿಕ್ಷಣ ಜೀವನ ಸುಧಾರಣೆಯ ಕರಣ
ಕರಣ,karaṇa,2,Instrument/means,ಕರ್ನಮ ಭರತಾವಿಯ ಕರಣಗಳು ಅದ್ಭುತವಾಗಿವೆ.,ಕರ್ನಮ ಭರತಾವಿಯ ಕರಣಗಳು ಅದ್ಭುತವಾಗಿವೆ
ಕರಣ,karaṇa,3,Action (grammatical),ಪದವಿನ ಕರಣ ವಿಷಯ ವಿಶ್ಲೇಷಿಸಬೇಕು.,ಪದವಿನ ಕರಣ ವಿಷಯ ವಿಶ್ಲೇಷಿಸಬೇಕು
ಕರಣ,karaṇa,3,Action (grammatical),ಅಪರ ಕರಣ ತೆರೆದುಕೊಂಡಿದೆ.,ಅಪರ ಕರಣ ತೆರೆದುಕೊಂಡಿದೆ
ಪ್ರಭು,prabhu,1,Master/owner,ಸೋಮನಾಥ ತನ್ನ ಗುಲಾಮನ ಪ್ರಭು.,ಸೋಮನಾಥ ತನ್ನ ಗುಲಾಮನ ಪ್ರಭು
ಪ್ರಭು,prabhu,1,Master/owner,ಪ್ರಭುವಿನ ಆದೇಶ ಪಾಲಿಸಲೇಬೇಕು.,ಪ್ರಭುವಿನ ಆದೇಶ ಪಾಲಿಸಲೇಬೇಕು
ಪ್ರಭು,prabhu,2,God/divine,ಪ್ರಭುವೆ ನಮ್ಮನ್ನು ರಕ್ಷಿಸಿ.,ಪ್ರಭುವೆ ನಮ್ಮನ್ನು ರಕ್ಷಿಸಿ
ಪ್ರಭು,prabhu,2,God/divine,ಪ್ರಭುವಿನ ಕೃಪೆ ಅಪರಿಸೀಮ.,ಪ್ರಭುವಿನ ಕೃಪೆ ಅಪರಿಸೀಮ
ಪ್ರಭು,prabhu,3,Lord (title/honorific),ರವಿ ಪ್ರಭುಗಳು ಮುಖ್ಯ ಅಧಿಕಾರಿ.,ರವಿ ಪ್ರಭುಗಳು ಮುಖ್ಯ ಅಧಿಕಾರಿ
ಪ್ರಭು,prabhu,3,Lord (title/honorific),ಪ್ರಭುಗಳ ನಿರ್ದೇಶನ ನೋಡಿ ಕೆಲಸ ಮಾಡಿ.,ಪ್ರಭುಗಳ ನಿರ್ದೇಶನ ನೋಡಿ ಕೆಲಸ ಮಾಡಿ
ಭಕ್ತ,bhakta,1,Devotee/follower,ಕೃಷ್ಣನ ಭಕ್ತರು ಕೋವಿಲಿಗೆ ಸೆರೆದುಬಂದರು.,ಕೃಷ್ಣನ ಭಕ್ತರು ಕೋವಿಲಿಗೆ ಸೆರೆದುಬಂದರು
ಭಕ್ತ,bhakta,1,Devotee/follower,ಆ ಗುರುವಿನ ಭಕ್ತ ತುಂಬಾ ಆಸ್ಥೆಗಳುದ್ದ.,ಆ ಗುರುವಿನ ಭಕ್ತ ತುಂಬಾ ಆಸ್ಥೆಗಳುದ್ದ
ಭಕ್ತ,bhakta,2,Servant,ಅರಸನ ಭಕ್ತರು ನಿರ್ದೇಶ ಪಾಲಿಸಿದರು.,ಅರಸನ ಭಕ್ತರು ನಿರ್ದೇಶ ಪಾಲಿಸಿದರು
ಭಕ್ತ,bhakta,2,Servant,ಭಕ್ತರನ್ನು ಸಮ್ಮಾನಿಸಿ.,ಭಕ್ತರನ್ನು ಸಮ್ಮಾನಿಸಿ
ಭಕ್ತ,bhakta,3,Believer,ಪ್ರಭುದ ಭಕ್ತರು ಧರ್ಮವನ್ನು ಪೋಷಿಸಿದರು.,ಪ್ರಭುದ ಭಕ್ತರು ಧರ್ಮವನ್ನು ಪೋಷಿಸಿದರು
ಭಕ್ತ,bhakta,3,Believer,ನಿಜನಾದ ಭಕ್ತರು ಸತ್ತರನ್ನು ಒಂದೆಡೆ ಮಾಡುತ್ತಾರೆ.,ನಿಜನಾದ ಭಕ್ತರು ಸತ್ತರನ್ನು ಒಂದೆಡೆ ಮಾಡುತ್ತಾರೆ
ಪೆರೆಲೆ,perele,1,Shadow,ಸೂರ್ಯನ ಪೆರೆಲೆ ಬೀಸುತ್ತಿದೆ.,ಸೂರ್ಯನ ಪೆರೆಲೆ ಬೀಸುತ್ತಿದೆ
ಪೆರೆಲೆ,perele,1,Shadow,ಮರದ ಪೆರೆಲೆಯಲ್ಲಿ ಕುಳಿತುಕೊಂಡೆ.,ಮರದ ಪೆರೆಲೆಯಲ್ಲಿ ಕುಳಿತುಕೊಂಡೆ
ಪೆರೆಲೆ,perele,2,Reflection,ನೀರಿನಲ್ಲಿ ಮುಖದ ಪೆರೆಲೆ ಕಾಣುತ್ತಿದೆ.,ನೀರಿನಲ್ಲಿ ಮುಖದ ಪೆರೆಲೆ ಕಾಣುತ್ತಿದೆ
ಪೆರೆಲೆ,perele,2,Reflection,ಕನ್ನಡ ಸಂಸ್ಕೃತಿಯ ಪೆರೆಲೆ ಲೋಕವೆಲ್ಲಾ ಪಡೆದೆ.,ಕನ್ನಡ ಸಂಸ್ಕೃತಿಯ ಪೆರೆಲೆ ಲೋಕವೆಲ್ಲಾ ಪಡೆದೆ
ಪೆರೆಲೆ,perele,3,Doubt/suspicion (metaphorical),ಆತನ ಮೇಲೆ ನಿರ್ದೋಷತೆಯ ಪೆರೆಲೆಯೂ ಇಲ್ಲ.,ಆತನ ಮೇಲೆ ನಿರ್ದೋಷತೆಯ ಪೆರೆಲೆಯೂ ಇಲ್ಲ
ಪೆರೆಲೆ,perele,3,Doubt/suspicion (metaphorical),ಪೆರೆಲೆ ಪರಿಚಯ ನಾಶ ಮಾಡುತ್ತದೆ.,ಪೆರೆಲೆ ಪರಿಚಯ ನಾಶ ಮಾಡುತ್ತದೆ
ವೃಕ್ಷ,vṛkṣa,1,Tree,ಮಂಜರಿ ವೃಕ್ಷದ ಮೇಲೆ ಕೆಳಗಿಳಿದೆ.,ಮಂಜರಿ ವೃಕ್ಷದ ಮೇಲೆ ಕೆಳಗಿಳಿದೆ
ವೃಕ್ಷ,vṛkṣa,1,Tree,ಬೀದಿಗೆ ವೃಕ್ಷ ರೋಪಿಸಿ.,ಬೀದಿಗೆ ವೃಕ್ಷ ರೋಪಿಸಿ
ವೃಕ್ಷ,vṛkṣa,2,Plant/vegetation,ಈ ಬಾಗದಲ್ಲಿ ಅನೇಕ ವೃಕ್ಷ ಮತ್ತು ಸಸ್ಯ ಇವೆ.,ಈ ಬಾಗದಲ್ಲಿ ಅನೇಕ ವೃಕ್ಷ ಮತ್ತು ಸಸ್ಯ ಇವೆ
ವೃಕ್ಷ,vṛkṣa,2,Plant/vegetation,ವೃಕ್ಷರಾಜ್ಯ ಭೂಮಿ ರಕ್ಷಿಸುತ್ತದೆ.,ವೃಕ್ಷರಾಜ್ಯ ಭೂಮಿ ರಕ್ಷಿಸುತ್ತದೆ
ವೃಕ್ಷ,vṛkṣa,3,Large plant (structural),ನೀಲಗೀರಿ ವೃಕ್ಷವು ಭೂದೃಶ್ಯ ನೋವಾಗಿದೆ.,ನೀಲಗೀರಿ ವೃಕ್ಷವು ಭೂದೃಶ್ಯ ನೋವಾಗಿದೆ
ವೃಕ್ಷ,vṛkṣa,3,Large plant (structural),ದೀರ್ಘ ವೃಕ್ಷ ಮೊರೆಗಾ ಸೇವೆಯ ತೋಳು.,ದೀರ್ಘ ವೃಕ್ಷ ಮೊರೆಗಾ ಸೇವೆಯ ತೋಳು
ಜಲ,jala,1,Water,ನೀರಾಯ ಜಲ ಕುಡಿಯಿರಿ.,ನೀರಾಯ ಜಲ ಕುಡಿಯಿರಿ
ಜಲ,jala,1,Water,ಜಲ ಬೆಳಗಿನ ಬಿಸಿಯಲ್ಲಿ ಕುದಿಯುತ್ತಿದೆ.,ಜಲ ಬೆಳಗಿನ ಬಿಸಿಯಲ್ಲಿ ಕುದಿಯುತ್ತಿದೆ
ಜಲ,jala,2,Liquid/fluid (general),ತೈಲಜಲ ಸಲ್ಯ ಹೀಲಿಂಗಿಗೆ ಉಪಯುಕ್ತ.,ತೈಲಜಲ ಸಲ್ಯ ಹೀಲಿಂಗಿಗೆ ಉಪಯುಕ್ತ
