pair_id,sentence1,sentence2,target_word,label_corrected,sense_id_1,sense_id_2,gold_label,split,model,similarity
pair_0001,ನನ್ನ ಮಾತು ಆಲಿಸಿ.,ಆ ಮಾತು ನಿಜವಾಗಿದೆ.,ಮಾತು,1,1,1.0,1,validation,mbert,0.82579106092453
pair_0003,ಇದು ಗಮನಾರ್ಹ ಮಾತು.,ಆ ಮಾತಿನ ಬಗ್ಗೆ ಮಾತನಾಡಬೇಡ.,ಮಾತು,1,2,2.0,1,test,mbert,0.16962730884552002
pair_0005,ಪಟ್ಟಣದಲ್ಲಿ ಸಾಕಷ್ಟು ಮಾತು ಆಗಿದೆ.,ತಲೆಕೆಳಿತ ಮಾತು ನಂಬಬೇಡ.,ಮಾತು,1,3,3.0,1,test,mbert,0.7496299147605896
pair_0006,ತನ್ನ ಹಸ್ತ ಮೆರೆದುಕೊಂಡರು.,ಹಸ್ತ ತೊಳೆಯಿರಿ.,ಹಸ್ತ,1,1,1.0,1,validation,mbert,0.7120983600616455
pair_0008,ಆನೆಯ ಹಸ್ತ ಅತ್ಯಂತ ಶಕ್ತಿಶಾಳಿ.,ಹಸ್ತದಿಂದ ನೀರು ಕುಡಿಯುತ್ತವೆ.,ಹಸ್ತ,1,2,2.0,1,test,mbert,0.7435879111289978
pair_0009,ಅವನ ಹಸ್ತ ತುಂಬಾ ಸುಂದರವಾಗಿದೆ.,ಈ ಗ್ರಂಥ ಶೇಷಾದ್ರಿಯ ಹಸ್ತದಿಂದ ಬರೆದಿದೆ.,ಹಸ್ತ,1,3,3.0,1,test,mbert,0.7288667559623718
pair_0010,ಸಭೆ ಅವನ ಹಸ್ತದಲ್ಲಿದೆ.,ಆ ಭೂಮಿ ನಿನ್ನ ಹಸ್ತದಲ್ಲಿದೆ.,ಹಸ್ತ,1,4,4.0,1,test,mbert,0.8670936822891235
pair_0011,ಪುಷ್ಪಬಾಗ ಅತ್ಯಂತ ಸುಂದರವಾಗಿದೆ.,ತರಕಾರಿ ಬಾಗದಲ್ಲಿ ಸೋಂಕು ಹಿಡಿದಿದೆ.,ಬಾಗ,1,1,1.0,1,validation,mbert,0.5159078240394592
pair_0012,ಸಂಪತ್ತಿನಿಂದ ಪ್ರತಿಯೊಬ್ಬರ ಬಾಗ ನಿರ್ಧರಿಸಿ.,ನನ್ನ ಬಾಗ ನಿಗದಿತವಾಗಿ ಇದೆ.,ಬಾಗ,1,2,2.0,1,test,mbert,0.7798249125480652
pair_0013,ಬೆಂಗಳೂರು ಉತ್ತರ ಬಾಗದಲ್ಲಿ ಸ್ಥಿತವಾಗಿದೆ.,ನಗರದ ಪಶ್ಚಿಮ ಬಾಗ ಸಾಕಷ್ಟು ಅಭಿವೃದ್ಧಿಯಾಗಿದೆ.,ಬಾಗ,1,3,3.0,1,test,mbert,0.7237119078636169
pair_0014,ಆ ಚಿತ್ರ ನೈಜತ್ವವನ್ನು ಪ್ರತಿಬಿಂಬಿಸುತ್ತದೆ.,ಚಿತ್ರ ತೆಗೆಯಬೇಕೆ?,ಚಿತ್ರ,1,1,1.0,1,test,mbert,0.7256978154182434
pair_0015,ಸಮಾಜದಲ್ಲಿ ಅನೇಕ ಚಿತ್ರ ಜನತೆ ವಾಸ ಮಾಡುತ್ತಾರೆ.,ಈ ಕಾದಂಬರಿಯು ಚಿತ್ರವಾದ ಪ್ರಕರಣಗಳನ್ನು ಹೊಂದಿದೆ.,ಚಿತ್ರ,1,2,2.0,1,test,mbert,0.6960958242416382
pair_0016,ಆ ಚಿತ್ರ ಘಟನೆ ಕೇಳಲು ಅದ್ಭುತವಾಗಿದೆ.,ಚಿತ್ರವಾದ ಸಂಗತಿ ಸಂಭವಿಸಿದೆ.,ಚಿತ್ರ,1,3,3.0,1,validation,mbert,0.7701559662818909
pair_0017,ರವಿಶಂಕರ ಸುಂದರ ಚಿತ್ರ ಸೃಷ್ಟಿಸುತ್ತಾರೆ.,ಈ ಚಿತ್ರ ಶಿಲ್ಪ ಅಸಾಧಾರಣ ಕಾದಂಬರಿ.,ಚಿತ್ರ,1,4,4.0,1,test,mbert,0.7824422121047974
pair_0018,ಕಾಲ ದ್ರುತವಾಗಿ ಹಾದುಹೋಗಿ.,ಮಹಾಭಾರತದ ಕಾಲದಲ್ಲಿ ಅನೇಕ ಯುದ್ಧ ನಡೆದವು.,ಕಾಲ,1,1,1.0,1,test,mbert,0.45784640312194824
pair_0019,ಅವನ ಎಡ ಕಾಲು ಮುರಿದಿದೆ.,ಕಾಲು ನೋವಾಗುತ್ತಿದೆ.,ಕಾಲ,1,2,2.0,1,test,mbert,0.8049842119216919
pair_0020,ಬೇಸಿಗೆ ಕಾಲ ತುಂಬಾ ಬಿಸಿಯಾಗಿರುತ್ತವೆ.,ಮುಂಗಾರು ಕಾಲ ಮೂವೆತ್ತೆ ಅಂದಾಗೆ ಬರುತ್ತದೆ.,ಕಾಲ,1,5,5.0,1,test,mbert,0.7082417011260986
pair_0021,ಧರಣಿ ಭ್ರಮಿಸುತ್ತಾ ಇರುತ್ತದೆ.,ಧರಣಿಯ ಮೇಲೆ ಮಿಲಿಯನ ಜನ ವಾಸ ಮಾಡುತ್ತಾರೆ.,ಧರಣಿ,1,1,1.0,1,validation,mbert,0.6061433553695679
pair_0022,ಈ ಕೋಟೆಯ ಧರಣಿ ಕಲ್ಲಿನಿಂದ ಕೆತ್ತಿರುವುದು.,ಮನೆಯ ಧರಣಿ ಬಲಾಗಿರುವುದು ಅಗತ್ಯ.,ಧರಣಿ,1,2,2.0,1,test,mbert,0.8338039517402649
pair_0023,ರಥದ ಚಕ್ರ ಭಾರೀ ಮರದಿಂದ ತಯಾರಾಗಿದೆ.,ಮೊಟೊರಿನ ಚಕ್ರ ತಿರುಗುತ್ತಿದೆ.,ಚಕ್ರ,1,1,1.0,1,test,mbert,0.8680344820022583
pair_0024,ಜೀವನದ ಚಕ್ರ ಮುಂದುವರಿದುಕೊಂಡಿದೆ.,ಋತುಗಳ ಚಕ್ರ ಪುನರಾವೃತ್ತಿಯಾಗುತ್ತಿದೆ.,ಚಕ್ರ,1,2,2.0,1,test,mbert,0.8470554351806641
pair_0025,ಯೋಗದಲ್ಲಿ ಆಚ್ಠ ಚಕ್ರಗಳು ಮುಖ್ಯ.,ಹೃದಯ ಚಕ್ರ ಸಕ್ರಿಯಗೊಳಿಸುತ್ತಾರೆ.,ಚಕ್ರ,1,3,3.0,1,test,mbert,0.7714370489120483
pair_0026,ಕೃಷ್ಣನ ಚಕ್ರ ವೈಷ್ಣವ ಅಸ್ತ್ರ.,ಸುದರ್ಶನ ಚಕ್ರ ಸಕಲವನ್ನು ನಾಶಮಾಡುತ್ತಿದೆ.,ಚಕ್ರ,1,4,4.0,1,validation,mbert,0.7531022429466248
pair_0027,ಈ ಘಟನೆಯ ಕರಣ ಎಂದರೆ ನಿರ್ಲಕ್ಷ್ಯತೆ.,ಅನಸ್ಥೆಯ ಕರಣ ಕಾರ್ಯಭಾರ ಹೆಚ್ಚು.,ಕರಣ,1,1,1.0,1,test,mbert,0.7428348660469055
pair_0029,ಸೋಮನಾಥ ತನ್ನ ಗುಲಾಮನ ಪ್ರಭು.,ಪ್ರಭುವಿನ ಆದೇಶ ಪಾಲಿಸಲೇಬೇಕು.,ಪ್ರಭು,1,1,1.0,1,test,mbert,0.788533091545105
pair_0030,ಪ್ರಭುವೆ ನಮ್ಮನ್ನು ರಕ್ಷಿಸಿ.,ಪ್ರಭುವಿನ ಕೃಪೆ ಅಪರಿಸೀಮ.,ಪ್ರಭು,1,2,2.0,1,test,mbert,0.7639732360839844
pair_0031,ಕೃಷ್ಣನ ಭಕ್ತರು ಕೋವಿಲಿಗೆ ಸೆರೆದುಬಂದರು.,ಆ ಗುರುವಿನ ಭಕ್ತ ತುಂಬಾ ಆಸ್ಥೆಗಳುದ್ದ.,ಭಕ್ತ,1,1,1.0,1,validation,mbert,0.7812740802764893
pair_0032,ಅರಸನ ಭಕ್ತರು ನಿರ್ದೇಶ ಪಾಲಿಸಿದರು.,ಭಕ್ತರನ್ನು ಸಮ್ಮಾನಿಸಿ.,ಭಕ್ತ,1,2,2.0,1,test,mbert,0.7998014688491821
pair_0033,ಆ ಅನ್ನದ ರಸ ಅತ್ಯಂತ ಸುಮಾರು.,ಲೆಮೆನ್ ರಸ ಅಮ್ಲೀಯವಾಗಿರುತ್ತದೆ.,ರಸ,1,1,1.0,1,test,mbert,0.7190488576889038
pair_0034,ಹಣ್ಣಿನ ರಸ ಮಿಠಾಗಿರುತ್ತದೆ.,ಗೆಜ್ಜಿನ ರಸ ಸೋಯಿ ರಸ ಹೊಂದಿಕೆ.,ರಸ,1,2,2.0,1,test,mbert,0.7203748822212219
pair_0035,ಕವಿತೆಯಲ್ಲಿ ಭಿನ್ನ ರಸಗಳು ಇವೆ.,ಶೃಂಗಾರ ರಸ ಸಂಗೀತದಲ್ಲಿ ಪ್ರಕಾಶಿತವಾಗುತ್ತದೆ.,ರಸ,1,3,3.0,1,test,mbert,0.7284983396530151
pair_0036,ಈ ಮಾತುಗಳ ಅರ್ಥ ತೃಪ್ತಿದಾಯಕವಾಗಿದೆ.,ಪದದ ಅರ್ಥ ತಿಳಿಸಿ.,ಅರ್ಥ,1,1,1.0,1,validation,mbert,0.7220897078514099
pair_0037,ಸಭೆ ಅರ್ಥ ಸೂಚಿಸಿದೆ.,ಅರ್ಥ ಪಾಲಿಸುವುದು ಅವಶ್ಯಕ.,ಅರ್ಥ,1,2,2.0,1,test,mbert,0.7634563446044922
pair_0038,ಯುವಕನ ಅರ್ಥ ಉನ್ನತಿಯಿತು.,ಈ ಪ್ರಯೋಗದ ಅರ್ಥ ತಪ್ಪಾದ ವಿಷಯ ಪಕ್ಷೀಕರಿಸುವುದು.,ಅರ್ಥ,1,3,3.0,1,test,mbert,0.7268579602241516
pair_0039,ಪಕ್ಷಿಯ ನೀಡ ವೃಕ್ಷದ ಮೇಲೆ ಇದೆ.,ಸೂಕನಲ್ಲಿ ನೀಡ ತಿರಿಯುತ್ತೆ.,ನೀಡ,1,1,1.0,1,test,mbert,0.8197231888771057
pair_0040,ಬೆಕೆಲೆಗಾಗಿ ಪರಿವಾರದ ನೀಡ ನಿರ್ಮಾಣ ಮಾಡಿದರು.,ಹೊಸ ನೀಡಕ್ಕೆ ಸ್ವಾಗತ.,ನೀಡ,1,2,2.0,1,test,mbert,0.788080632686615
pair_0041,ನನ್ನ ಮಾತು ಆಲಿಸಿ.,ಇದು ಗಮನಾರ್ಹ ಮಾತು.,ಮಾತು,0,1,2.0,0,validation,mbert,0.7840372323989868
pair_0042,ಆ ಮಾತು ನಿಜವಾಗಿದೆ.,ಪಟ್ಟಣದಲ್ಲಿ ಸಾಕಷ್ಟು ಮಾತು ಆಗಿದೆ.,ಮಾತು,0,1,3.0,0,test,mbert,0.6954208016395569
pair_0043,ಇದು ಗಮನಾರ್ಹ ಮಾತು.,ತಲೆಕೆಳಿತ ಮಾತು ನಂಬಬೇಡ.,ಮಾತು,0,2,3.0,0,test,mbert,0.8364793062210083
pair_0044,ಪಟ್ಟಣದಲ್ಲಿ ಸಾಕಷ್ಟು ಮಾತು ಆಗಿದೆ.,ಆ ಮಾತು ನಿಜವಾಗಿದೆ.,ಮಾತು,0,3,1.0,0,test,mbert,0.6954208016395569
pair_0045,ತನ್ನ ಹಸ್ತ ಮೆರೆದುಕೊಂಡರು.,ಆನೆಯ ಹಸ್ತ ಅತ್ಯಂತ ಶಕ್ತಿಶಾಳಿ.,ಹಸ್ತ,0,1,2.0,0,test,mbert,0.7626197338104248
pair_0046,ಹಸ್ತ ತೊಳೆಯಿರಿ.,ಅವನ ಹಸ್ತ ತುಂಬಾ ಸುಂದರವಾಗಿದೆ.,ಹಸ್ತ,0,1,3.0,0,validation,mbert,0.7171416282653809
pair_0047,ಆನೆಯ ಹಸ್ತ ಅತ್ಯಂತ ಶಕ್ತಿಶಾಳಿ.,ಸಭೆ ಅವನ ಹಸ್ತದಲ್ಲಿದೆ.,ಹಸ್ತ,0,2,4.0,0,test,mbert,0.7604442834854126
pair_0048,ಈ ಗ್ರಂಥ ಶೇಷಾದ್ರಿಯ ಹಸ್ತದಿಂದ ಬರೆದಿದೆ.,ತನ್ನ ಹಸ್ತ ಮೆರೆದುಕೊಂಡರು.,ಹಸ್ತ,0,3,1.0,0,test,mbert,0.6969594955444336
pair_0049,ಸಭೆ ಅವನ ಹಸ್ತದಲ್ಲಿದೆ.,ಹಸ್ತದಿಂದ ನೀರು ಕುಡಿಯುತ್ತವೆ.,ಹಸ್ತ,0,4,2.0,0,test,mbert,0.7640545964241028
pair_0050,ಪುಷ್ಪಬಾಗ ಅತ್ಯಂತ ಸುಂದರವಾಗಿದೆ.,ಸಂಪತ್ತಿನಿಂದ ಪ್ರತಿಯೊಬ್ಬರ ಬಾಗ ನಿರ್ಧರಿಸಿ.,ಬಾಗ,0,1,2.0,0,test,mbert,0.6708306670188904
pair_0051,ತರಕಾರಿ ಬಾಗದಲ್ಲಿ ಸೋಂಕು ಹಿಡಿದಿದೆ.,ಬೆಂಗಳೂರು ಉತ್ತರ ಬಾಗದಲ್ಲಿ ಸ್ಥಿತವಾಗಿದೆ.,ಬಾಗ,0,1,3.0,0,validation,mbert,0.6832993030548096
pair_0052,ನನ್ನ ಬಾಗ ನಿಗದಿತವಾಗಿ ಇದೆ.,ನಗರದ ಪಶ್ಚಿಮ ಬಾಗ ಸಾಕಷ್ಟು ಅಭಿವೃದ್ಧಿಯಾಗಿದೆ.,ಬಾಗ,0,2,3.0,0,test,mbert,0.7212356925010681
pair_0053,ಆ ಚಿತ್ರ ನೈಜತ್ವವನ್ನು ಪ್ರತಿಬಿಂಬಿಸುತ್ತದೆ.,ಸಮಾಜದಲ್ಲಿ ಅನೇಕ ಚಿತ್ರ ಜನತೆ ವಾಸ ಮಾಡುತ್ತಾರೆ.,ಚಿತ್ರ,0,1,2.0,0,test,mbert,0.7025439143180847
pair_0054,ಚಿತ್ರ ತೆಗೆಯಬೇಕೆ?,ಆ ಚಿತ್ರ ಘಟನೆ ಕೇಳಲು ಅದ್ಭುತವಾಗಿದೆ.,ಚಿತ್ರ,0,1,3.0,0,test,mbert,0.6970216035842896
pair_0055,ಈ ಕಾದಂಬರಿಯು ಚಿತ್ರವಾದ ಪ್ರಕರಣಗಳನ್ನು ಹೊಂದಿದೆ.,ರವಿಶಂಕರ ಸುಂದರ ಚಿತ್ರ ಸೃಷ್ಟಿಸುತ್ತಾರೆ.,ಚಿತ್ರ,0,2,4.0,0,test,mbert,0.6965346932411194
pair_0056,ಚಿತ್ರವಾದ ಸಂಗತಿ ಸಂಭವಿಸಿದೆ.,ಈ ಚಿತ್ರ ಶಿಲ್ಪ ಅಸಾಧಾರಣ ಕಾದಂಬರಿ.,ಚಿತ್ರ,0,3,4.0,0,validation,mbert,0.8082608580589294
pair_0057,ಕಾಲ ದ್ರುತವಾಗಿ ಹಾದುಹೋಗಿ.,ಅವನ ಎಡ ಕಾಲು ಮುರಿದಿದೆ.,ಕಾಲ,0,1,2.0,0,test,mbert,0.5366927981376648
pair_0058,ಮಹಾಭಾರತದ ಕಾಲದಲ್ಲಿ ಅನೇಕ ಯುದ್ಧ ನಡೆದವು.,ಕಾಲು ನೋವಾಗುತ್ತಿದೆ.,ಕಾಲ,0,1,2.0,0,test,mbert,0.3695004880428314
pair_0059,ಅವನ ಎಡ ಕಾಲು ಮುರಿದಿದೆ.,ಬೇಸಿಗೆ ಕಾಲ ತುಂಬಾ ಬಿಸಿಯಾಗಿರುತ್ತವೆ.,ಕಾಲ,0,2,5.0,0,test,mbert,0.551432728767395
pair_0060,ಕಾಲು ನೋವಾಗುತ್ತಿದೆ.,ಮುಂಗಾರು ಕಾಲ ಮೂವೆತ್ತೆ ಅಂದಾಗೆ ಬರುತ್ತದೆ.,ಕಾಲ,0,2,5.0,0,test,mbert,0.5702467560768127
pair_0061,ಧರಣಿ ಭ್ರಮಿಸುತ್ತಾ ಇರುತ್ತದೆ.,ಈ ಕೋಟೆಯ ಧರಣಿ ಕಲ್ಲಿನಿಂದ ಕೆತ್ತಿರುವುದು.,ಧರಣಿ,0,1,2.0,0,validation,mbert,0.5391871333122253
pair_0062,ಧರಣಿಯ ಮೇಲೆ ಮಿಲಿಯನ ಜನ ವಾಸ ಮಾಡುತ್ತಾರೆ.,ಮನೆಯ ಧರಣಿ ಬಲಾಗಿರುವುದು ಅಗತ್ಯ.,ಧರಣಿ,0,1,2.0,0,test,mbert,0.7933162450790405
pair_0063,ರಥದ ಚಕ್ರ ಭಾರೀ ಮರದಿಂದ ತಯಾರಾಗಿದೆ.,ಜೀವನದ ಚಕ್ರ ಮುಂದುವರಿದುಕೊಂಡಿದೆ.,ಚಕ್ರ,0,1,2.0,0,test,mbert,0.7989826202392578
pair_0064,ಮೊಟೊರಿನ ಚಕ್ರ ತಿರುಗುತ್ತಿದೆ.,ಯೋಗದಲ್ಲಿ ಆಚ್ಠ ಚಕ್ರಗಳು ಮುಖ್ಯ.,ಚಕ್ರ,0,1,3.0,0,test,mbert,0.8013529777526855
pair_0065,ಋತುಗಳ ಚಕ್ರ ಪುನರಾವೃತ್ತಿಯಾಗುತ್ತಿದೆ.,ಕೃಷ್ಣನ ಚಕ್ರ ವೈಷ್ಣವ ಅಸ್ತ್ರ.,ಚಕ್ರ,0,2,4.0,0,test,mbert,0.8278671503067017
pair_0066,ಹೃದಯ ಚಕ್ರ ಸಕ್ರಿಯಗೊಳಿಸುತ್ತಾರೆ.,ಸುದರ್ಶನ ಚಕ್ರ ಸಕಲವನ್ನು ನಾಶಮಾಡುತ್ತಿದೆ.,ಚಕ್ರ,0,3,4.0,0,validation,mbert,0.780268669128418
pair_0067,ಈ ಘಟನೆಯ ಕರಣ ಎಂದರೆ ನಿರ್ಲಕ್ಷ್ಯತೆ.,ಶಿಕ್ಷಣ ಜೀವನ ಸುಧಾರಣೆಯ ಕರಣ.,ಕರಣ,0,1,2.0,0,test,mbert,0.7982626557350159
pair_0068,ಸೋಮನಾಥ ತನ್ನ ಗುಲಾಮನ ಪ್ರಭು.,ಪ್ರಭುವೆ ನಮ್ಮನ್ನು ರಕ್ಷಿಸಿ.,ಪ್ರಭು,0,1,2.0,0,test,mbert,0.8052088618278503
pair_0069,ಪ್ರಭುವಿನ ಆದೇಶ ಪಾಲಿಸಲೇಬೇಕು.,ಪ್ರಭುವಿನ ಕೃಪೆ ಅಪರಿಸೀಮ.,ಪ್ರಭು,0,1,2.0,0,test,mbert,0.8531113266944885
pair_0070,ಕೃಷ್ಣನ ಭಕ್ತರು ಕೋವಿಲಿಗೆ ಸೆರೆದುಬಂದರು.,ಅರಸನ ಭಕ್ತರು ನಿರ್ದೇಶ ಪಾಲಿಸಿದರು.,ಭಕ್ತ,0,1,2.0,0,test,mbert,0.8720188140869141
pair_0071,ಆ ಗುರುವಿನ ಭಕ್ತ ತುಂಬಾ ಆಸ್ಥೆಗಳುದ್ದ.,ಭಕ್ತರನ್ನು ಸಮ್ಮಾನಿಸಿ.,ಭಕ್ತ,0,1,2.0,0,validation,mbert,0.753541111946106
pair_0072,ಆ ಅನ್ನದ ರಸ ಅತ್ಯಂತ ಸುಮಾರು.,ಕವಿತೆಯಲ್ಲಿ ಭಿನ್ನ ರಸಗಳು ಇವೆ.,ರಸ,0,1,3.0,0,test,mbert,0.7207116484642029
pair_0073,ಹಣ್ಣಿನ ರಸ ಮಿಠಾಗಿರುತ್ತದೆ.,ಶೃಂಗಾರ ರಸ ಸಂಗೀತದಲ್ಲಿ ಪ್ರಕಾಶಿತವಾಗುತ್ತದೆ.,ರಸ,0,2,3.0,0,test,mbert,0.6822465658187866
pair_0074,ಲೆಮೆನ್ ರಸ ಅಮ್ಲೀಯವಾಗಿರುತ್ತದೆ.,ದೇವತೆಗಳು ಅಮೃತ ರಸ ಕುಡಿದರು.,ರಸ,0,1,4.0,0,test,mbert,0.689357340335846
pair_0075,ಈ ಮಾತುಗಳ ಅರ್ಥ ತೃಪ್ತಿದಾಯಕವಾಗಿದೆ.,ಸಭೆ ಅರ್ಥ ಸೂಚಿಸಿದೆ.,ಅರ್ಥ,0,1,2.0,0,test,mbert,0.6885324716567993
pair_0076,ಪದದ ಅರ್ಥ ತಿಳಿಸಿ.,ಯುವಕನ ಅರ್ಥ ಉನ್ನತಿಯಿತು.,ಅರ್ಥ,0,1,3.0,0,validation,mbert,0.7614773511886597
pair_0077,ಪಕ್ಷಿಯ ನೀಡ ವೃಕ್ಷದ ಮೇಲೆ ಇದೆ.,ಹೊಸ ನೀಡಕ್ಕೆ ಸ್ವಾಗತ.,ನೀಡ,0,1,2.0,0,test,mbert,0.7518155574798584
pair_0078,ನನ್ನ ಹಸ್ತ ತೆಗೆ.,ಹಾಕುಮಾರಿಗೆ ನಕ್ಷತ್ರ ತೆಗೆದು ಕೊಟ್ಟರು.,ತೆಗೆ,1,1,1.0,1,test,mbert,0.7233712077140808
pair_0079,ಹೋಗಿ ಮೇಲಿನ ತಗರು ತೆಗೆದುಕೊ.,ಕಂಕುದಿಂದ ಮುಖ್ಯ ಕೆಲಸ ತೆಗೆದುಕೊ.,ತೆಗೆ,1,2,2.0,1,test,mbert,0.8243569731712341
pair_0080,ನೆಲದಿಂದ ಪಿಸು ತೆಗೆದುಕೊ.,ಹೊರಗಿನ ಸೂಪ ತೆಗೆದುಕೊಂಡೆ.,ತೆಗೆ,1,3,3.0,1,test,mbert,0.8594378232955933
pair_0081,ಗುರಿನೆ ಬಾರಣವನ್ನು ತೆಗೆದುಕೊಳ್ಳಿ.,ಪ್ರಾಣಿ ಪರೀಕ್ಷೆಯಲ್ಲಿ ತೆಗೆದುಕೊಂಡರು.,ತೆಗೆ,1,4,4.0,1,validation,mbert,0.6826175451278687
pair_0082,ಆನೆಗೆ ಒಣಹೂವು ಕೊಡಿ.,ನನಗೆ ನೀರು ಕೊಡಿ.,ಕೊಡು,1,1,1.0,1,test,mbert,0.871860921382904
pair_0083,ದೇವರಿಗೆ ಹೂವು ಕೊಡುವುದು ಸಂಪ್ರದಾಯ.,ಅತಿಥಿಗೆ ಆಸನ ಕೊಡಿ.,ಕೊಡು,1,2,2.0,1,test,mbert,0.12121918797492981
pair_0084,ಶತ್ರುವಿಗೆ ಭೀಷಣ ಪ್ರಹಾರ ಕೊಡುತ್ತೆ.,ತೊಡೆಯಿಂದ ಥಳಿ ಕೊಟ್ಟನಳೆ.,ಕೊಡು,1,3,3.0,1,test,mbert,0.1144123524427414
pair_0085,ಗಿರುಗಳ ಹಾಕುಮಾರಿ ಬೆಳ್ಳಳಿ ಕೊಡುತ್ತವೆ.,ಕ್ಷೇತ್ರ ಸಂಪೂರ್ಣ ಫಸಲಿ ಕೊಡುತ್ತಿದೆ.,ಕೊಡು,1,4,4.0,1,test,mbert,0.7953177690505981
pair_0086,ಆಕಾಶ ನೋಡಿ.,ಒಟ್ಟಿಗೆ ಏನು ನೋಡುತ್ತೀಯ?,ನೋಡು,1,1,1.0,1,validation,mbert,0.057438816875219345
pair_0087,ಸಿನೆಮಾ ನೋಡುವುದು ಆನಂದ.,ಕಡಿಮೆ ಮಾರುಕಟ್ಟೆ ನೋಡೊಳ್ಳಿ.,ನೋಡು,1,2,2.0,1,test,mbert,0.049102868884801865
pair_0088,ನನ್ನ ಸ್ನೇಹಿತ ನೀಡೆ ನೋಡುತ್ತೆ.,ರಾತ್ರಿ ನಿಮ್ಮನ್ನು ನೋಡುತ್ತೇನೆ.,ನೋಡು,1,3,3.0,1,test,mbert,0.887731671333313
pair_0089,ಸರಿಪೊತ್ತು ನೋಡಿ.,ಚಿಕಿತ್ಸಕ ರೋಗಿಯನ್ನು ನೋಡಿದರು.,ನೋಡು,1,4,4.0,1,test,mbert,0.8567384481430054
